0.014149000	172.17.0.3	172.17.0.2
0.164771000	172.17.0.2	172.17.0.3
0.365248000	172.17.0.2	172.17.0.3
0.568000000	172.17.0.2	172.17.0.3
0.773352000	172.17.0.2	172.17.0.3
0.970737000	172.17.0.2	172.17.0.3
1.168343000	172.17.0.2	172.17.0.3
1.367530000	172.17.0.2	172.17.0.3
1.572863000	172.17.0.2	172.17.0.3
1.780685000	172.17.0.2	172.17.0.3
1.969161000	172.17.0.2	172.17.0.3
2.174142000	172.17.0.2	172.17.0.3
2.372581000	172.17.0.2	172.17.0.3
2.646208000	172.17.0.2	172.17.0.3
2.771081000	172.17.0.2	172.17.0.3
2.965394000	172.17.0.2	172.17.0.3
3.176583000	172.17.0.2	172.17.0.3
3.372135000	172.17.0.2	172.17.0.3
3.576762000	172.17.0.2	172.17.0.3
3.766112000	172.17.0.2	172.17.0.3
3.966633000	172.17.0.2	172.17.0.3
4.173302000	172.17.0.2	172.17.0.3
4.374034000	172.17.0.2	172.17.0.3
4.572893000	172.17.0.2	172.17.0.3
4.775302000	172.17.0.2	172.17.0.3
4.969582000	172.17.0.2	172.17.0.3
5.170423000	172.17.0.2	172.17.0.3
5.369496000	172.17.0.2	172.17.0.3
5.565573000	172.17.0.2	172.17.0.3
5.767022000	172.17.0.2	172.17.0.3
5.973998000	172.17.0.2	172.17.0.3
6.173221000	172.17.0.2	172.17.0.3
6.368633000	172.17.0.2	172.17.0.3
6.568807000	172.17.0.2	172.17.0.3
6.765727000	172.17.0.2	172.17.0.3
6.966988000	172.17.0.2	172.17.0.3
7.171575000	172.17.0.2	172.17.0.3
7.372767000	172.17.0.2	172.17.0.3
7.565123000	172.17.0.2	172.17.0.3
7.770038000	172.17.0.2	172.17.0.3
7.971421000	172.17.0.2	172.17.0.3
8.170559000	172.17.0.2	172.17.0.3
8.380836000	172.17.0.2	172.17.0.3
8.566422000	172.17.0.2	172.17.0.3
8.766663000	172.17.0.2	172.17.0.3
8.970704000	172.17.0.2	172.17.0.3
9.172820000	172.17.0.2	172.17.0.3
9.370433000	172.17.0.2	172.17.0.3
9.569998000	172.17.0.2	172.17.0.3
9.766114000	172.17.0.2	172.17.0.3
9.965032000	172.17.0.2	172.17.0.3
10.172812000	172.17.0.2	172.17.0.3
10.374951000	172.17.0.2	172.17.0.3
10.579024000	172.17.0.2	172.17.0.3
10.778861000	172.17.0.2	172.17.0.3
10.967658000	172.17.0.2	172.17.0.3
11.169917000	172.17.0.2	172.17.0.3
11.368040000	172.17.0.2	172.17.0.3
11.574473000	172.17.0.2	172.17.0.3
11.767536000	172.17.0.2	172.17.0.3
11.974183000	172.17.0.2	172.17.0.3
12.171206000	172.17.0.2	172.17.0.3
12.375650000	172.17.0.2	172.17.0.3
12.574706000	172.17.0.2	172.17.0.3
12.775808000	172.17.0.2	172.17.0.3
12.973044000	172.17.0.2	172.17.0.3
13.166018000	172.17.0.2	172.17.0.3
13.368372000	172.17.0.2	172.17.0.3
13.577737000	172.17.0.2	172.17.0.3
13.770139000	172.17.0.2	172.17.0.3
13.966040000	172.17.0.2	172.17.0.3
14.170977000	172.17.0.2	172.17.0.3
14.367530000	172.17.0.2	172.17.0.3
14.564907000	172.17.0.2	172.17.0.3
14.773126000	172.17.0.2	172.17.0.3
14.978362000	172.17.0.2	172.17.0.3
15.166551000	172.17.0.2	172.17.0.3
15.376635000	172.17.0.2	172.17.0.3
15.570261000	172.17.0.2	172.17.0.3
15.773505000	172.17.0.2	172.17.0.3
15.977514000	172.17.0.2	172.17.0.3
16.172436000	172.17.0.2	172.17.0.3
16.366424000	172.17.0.2	172.17.0.3
16.567624000	172.17.0.2	172.17.0.3
16.767472000	172.17.0.2	172.17.0.3
16.968637000	172.17.0.2	172.17.0.3
17.170364000	172.17.0.2	172.17.0.3
17.366071000	172.17.0.2	172.17.0.3
17.572934000	172.17.0.2	172.17.0.3
17.775158000	172.17.0.2	172.17.0.3
17.967897000	172.17.0.2	172.17.0.3
18.165308000	172.17.0.2	172.17.0.3
18.367417000	172.17.0.2	172.17.0.3
18.586617000	172.17.0.2	172.17.0.3
18.767959000	172.17.0.2	172.17.0.3
18.965859000	172.17.0.2	172.17.0.3
19.176983000	172.17.0.2	172.17.0.3
19.367331000	172.17.0.2	172.17.0.3
19.572093000	172.17.0.2	172.17.0.3
19.773579000	172.17.0.2	172.17.0.3
19.980670000	172.17.0.2	172.17.0.3
20.165492000	172.17.0.2	172.17.0.3
20.371325000	172.17.0.2	172.17.0.3
20.578402000	172.17.0.2	172.17.0.3
20.769229000	172.17.0.2	172.17.0.3
20.969568000	172.17.0.2	172.17.0.3
21.167392000	172.17.0.2	172.17.0.3
21.366349000	172.17.0.2	172.17.0.3
21.571422000	172.17.0.2	172.17.0.3
21.769637000	172.17.0.2	172.17.0.3
21.971995000	172.17.0.2	172.17.0.3
22.173229000	172.17.0.2	172.17.0.3
22.390598000	172.17.0.2	172.17.0.3
22.570717000	172.17.0.2	172.17.0.3
22.773154000	172.17.0.2	172.17.0.3
22.964772000	172.17.0.2	172.17.0.3
23.169711000	172.17.0.2	172.17.0.3
23.372862000	172.17.0.2	172.17.0.3
23.571900000	172.17.0.2	172.17.0.3
23.777066000	172.17.0.2	172.17.0.3
23.995426000	172.17.0.2	172.17.0.3
24.167768000	172.17.0.2	172.17.0.3
24.368288000	172.17.0.2	172.17.0.3
24.566375000	172.17.0.2	172.17.0.3
24.773146000	172.17.0.2	172.17.0.3
24.978737000	172.17.0.2	172.17.0.3
25.168346000	172.17.0.2	172.17.0.3
25.388596000	172.17.0.2	172.17.0.3
25.579686000	172.17.0.2	172.17.0.3
25.767174000	172.17.0.2	172.17.0.3
25.972321000	172.17.0.2	172.17.0.3
26.178864000	172.17.0.2	172.17.0.3
26.376358000	172.17.0.2	172.17.0.3
26.585602000	172.17.0.2	172.17.0.3
26.765902000	172.17.0.2	172.17.0.3
26.972930000	172.17.0.2	172.17.0.3
27.177055000	172.17.0.2	172.17.0.3
27.372437000	172.17.0.2	172.17.0.3
27.575579000	172.17.0.2	172.17.0.3
27.771000000	172.17.0.2	172.17.0.3
27.972059000	172.17.0.2	172.17.0.3
28.166275000	172.17.0.2	172.17.0.3
28.367270000	172.17.0.2	172.17.0.3
28.565160000	172.17.0.2	172.17.0.3
28.776226000	172.17.0.2	172.17.0.3
28.966300000	172.17.0.2	172.17.0.3
29.174516000	172.17.0.2	172.17.0.3
29.385734000	172.17.0.2	172.17.0.3
29.568213000	172.17.0.2	172.17.0.3
29.766652000	172.17.0.2	172.17.0.3
29.974219000	172.17.0.2	172.17.0.3
30.182311000	172.17.0.2	172.17.0.3
30.373119000	172.17.0.2	172.17.0.3
30.570768000	172.17.0.2	172.17.0.3
30.770854000	172.17.0.2	172.17.0.3
